dialogue,sentiment,
"I've been knocked down more times than I can count, but I always get back up. I refuse to let life beat me down. I'm a fighter, a survivor. And no matter what challenges come my way, I'll face them head-on with courage and determination.",Positive,
"Sometimes it feels like the world is against you, like nothing ever goes your way. But you can't let it defeat you. You have to keep pushing forward, even when it feels impossible. Because every setback is just a setup for a comeback.",Positive,
"Life is a journey filled with twists and turns, ups and downs. Some days you feel like you're on top of the world, and other days, you're struggling just to keep your head above water. But through it all, one thing remains constant: the strength within you to persevere.",Positive,
"There are moments in life when everything seems to come crashing down around you. You feel overwhelmed, defeated, like there's no way out. But even in the darkest of times, there's a glimmer of hope shining through. Hold onto that hope, let it guide you through the storm.",Positive,
"The road ahead may be uncertain, filled with twists and turns we never saw coming. But that's what makes life exciting, the unexpected adventures that await us. Embrace the journey, cherish every moment, and never lose sight of the beauty that surrounds you.",Positive,
"Life is a rollercoaster ride, full of ups and downs, twists and turns. Some days you feel like you're on top of the world, and other days, you're struggling just to make it through. But no matter what challenges come your way, remember that you are strong enough to overcome them.",Positive,
"We all face challenges in life, obstacles that seem insurmountable. But it's how we respond to those challenges that defines us. Will we let them defeat us, or will we rise above them, stronger than ever? The choice is ours to make.",Positive,
"Life is a journey, and sometimes the path we're on takes us to unexpected places. We may face obstacles along the way, but each one is an opportunity to grow and learn. Embrace the journey, cherish the moments, and never lose sight of the beauty that surrounds you.",Positive,
"There are days when it feels like the weight of the world is on your shoulders, when the challenges seem insurmountable and the obstacles never-ending. But even in the darkest of times, there is light. Hold onto that light, let it guide you through the storm.",Positive,
"Life is a journey filled with twists and turns, ups and downs. Some days you feel like you're on top of the world, and other days, you're struggling just to keep your head above water. But through it all, remember that you are stronger than you know.",Positive,
"Life is full of unexpected twists and turns, moments of joy and moments of sorrow. But through it all, one thing remains constant: the strength within you to persevere. You are capable of overcoming any obstacle that comes your way.",Positive,
"There are times in life when everything seems to be falling apart, when the challenges feel insurmountable and the obstacles never-ending. But even in the darkest of times, there is hope. Hold onto that hope, let it guide you through the storm.",Positive,
"I can't do this anymore. I'm tired of pretending like everything's okay when it's not. I feel like I'm suffocating, like there's no way out. No matter how hard I try, I can't seem to shake this feeling of hopelessness. I'm drowning in a sea of despair, and I don't know how to swim.",Negative,
"I'm so sick and tired of constantly being let down by the people around me. It feels like no matter how much I give, it's never enough. I'm tired of being taken advantage of, of being treated like I'm worthless. I just want to scream and lash out, but what's the point? No one's listening anyway.",Negative,
"I'm trapped in this endless cycle of self-doubt and self-loathing, and I don't know how to break free. Every day is a struggle just to get out of bed, to face the world and all its disappointments. I'm tired of pretending like I'm okay when I'm not. I just want it all to end.",Negative,
"Life has a way of kicking you when you're down, of piling on one hardship after another until you feel like you can't take it anymore. I'm tired of fighting, tired of pretending like I'm strong when I'm not. I just want to curl up and disappear, to escape from this never-ending nightmare.",Negative,
"I'm so sick of feeling like a failure, like no matter what I do, it's never good enough. I'm tired of pretending like I'm happy when I'm not, of putting on a brave face for the world to see. I just want to give up, to stop fighting and let the darkness consume me.",Negative,
"Everywhere I look, I see nothing but pain and suffering. It's like the world is conspiring against me, like I'm destined to suffer for eternity. I'm tired of pretending like everything's okay when it's not. I just want to scream and rage against the unfairness of it all.",Negative,
"I'm so tired of feeling like I'm not good enough, like I'll never measure up to the impossible standards set by society. No matter how hard I try, I always end up falling short. I'm tired of pretending like I'm okay with it when I'm not. I just want to break free from this endless cycle of self-doubt.",Negative,
"Life is just one disappointment after another, one setback after another. I'm tired of pretending like I'm strong when I'm not, of putting on a brave face for the world to see. I just want to curl up and disappear, to escape from this never-ending nightmare.",Negative,
"I'm so tired of feeling like I'm alone in this world, like there's no one who truly understands me. I'm tired of pretending like I'm okay when I'm not, of putting on a happy face for the sake of others. I just want someone to see me, to really see me, and tell me that everything's going to be okay.",Negative,
"Life is nothing but a series of disappointments, a never-ending parade of heartache and pain. I'm tired of pretending like I'm happy when I'm not, of putting on a brave face for the sake of others. I just want to scream and rage against the unfairness of it all.",Negative,
"My mama always said, 'Life was like a box of chocolates. You never know what you're gonna get.'",Neutral,
Stupid is as stupid does.,Neutral,
"Run, Forrest, run!",Neutral,
Mama always had a way of explaining things so I could understand them.,Neutral,
You have to do the best with what God gave you.,Positive,
My mama says they were magic shoes. They could take me anywhere.,Positive,
There's an awful lot you can tell about a person by their shoes.,Neutral,
"Mama always said, dying was a part of life. I sure wish it wasn't.",Negative,
"He's my best good friend. If anything happened to him, I don't know what I'd do.",Positive,
You got to put the past behind you before you can move on.,Positive,
"I'm not a smart man, but I know what love is.",Positive,
That's all I have to say about that.,Neutral,
"Sometimes, I guess there just aren't enough rocks.",Negative,
"I'm Forrest, Forrest Gump.",Neutral,
"I'm sorry I ruined your New Year's Eve party, Lieutenant Dan. She tasted like cigarettes.",Neutral,
"Lieutenant Dan got me invested in some kind of fruit company. So then I got a call from him, saying we don't have to worry about money no more.",Positive,
"Anyway, like I was sayin', shrimp is the fruit of the sea. You can barbecue it, boil it, broil it, bake it, saute it. Dey's uh, shrimp-kabobs, shrimp creole, shrimp gumbo. Pan fried, deep fried, stir-fried. There's pineapple shrimp, lemon shrimp, coconut shrimp, pepper shrimp, shrimp soup, shrimp stew, shrimp salad, shrimp and potatoes, shrimp burger, shrimp sandwich. That- that's about it.",Neutral,
"And just like that, my shrimp boat captain career was over.",Negative,
"You know, it's funny what a young man recollects. 'Cause I don't remember being born. I don't recall what I got for my first Christmas and I don't know when I went on my first outdoor picnic. But I do remember the first time I heard the sweetest voice in the wide world.",Positive,
"Lieutenant Dan, ice cream.",Neutral,
I never thanked you for saving my life.,Neutral,
"From that day on, we was always together. Jenny and me was like peas and carrots.",Positive,
What's normal anyways?,Neutral,
"You died on a Saturday morning. And I had you placed here under our tree. And I had that house of your father's bulldozed to the ground. Momma always said dyin' was a part of life. I sure wish it wasn't. Little Forrest, he's doing just fine. About to start school again soon. I make his breakfast, lunch, and dinner every day. I make sure he combs his hair and brushes his teeth every day. Teaching him how to play ping-pong. He's really good. We fish a lot. And every night, we read a book. He's so smart, Jenny. You'd be so proud of him. I am. He, uh, wrote a letter, and he says I can't read it. I'm not supposed to, so I'll just leave it here for you. Jenny, I don't know if Momma was right or if, if it's Lieutenant Dan. I don't know if we each have a destiny, or if we're all just floating around accidental-like on a breeze, but I, I think maybe it's both. Maybe both is happening at the same time. I miss you, Jenny. If there's anything you need, I won't be far away.",Positive,
"Hope is a good thing, maybe the best of things, and no good thing ever dies.",Positive,
"Remember, Red, hope is a good thing, maybe the best of things. And no good thing ever dies.",Positive,
Get busy living or get busy dying.,Neutral,
"I guess it comes down to a simple choice, really. Get busy living, or get busy dying.",Neutral,
"Andy Dufresne: I guess it comes down to a simple choice, really. Get busy living, or get busy dying.",Neutral,
"Andy Dufresne: Get busy living, or get busy dying.",Neutral,
"Get busy living, or get busy dying. That's goddamn right.",Neutral,
"Get busy living, or get busy dying. That's damn right.",Neutral,
Get busy living or get busy dying. That's the goddamn truth.,Neutral,
Salvation lies within.,Neutral,
Andy Dufresne: Salvation lies within.,Neutral,
"Get busy living, or get busy dying.",Neutral,
You either get busy living or get busy dying.,Neutral,
"These walls are kind of funny like that. First you hate 'em, then you get used to 'em. Enough time passes, you get so you depend on them. That's institutionalized.",Neutral,
I guess I just miss my friend.,Negative,
You know what the Mexicans say about the Pacific? They say it has no memory. That's where I want to live the rest of my life. A warm place with no memory.,Neutral,
"That's all it takes, really. Pressure, and time.",Neutral,
"Andy Dufresne: That's all it takes, really. Pressure, and time.",Neutral,
Pressure and time.,Neutral,
"These walls are funny. First you hate 'em, then you get used to 'em. Enough time passes, you get so you depend on them. That's institutionalized.",Neutral,
"There's not a day goes by I don't feel regret. Not because I'm in here, because you think I should. I look back on the way I was then: a young, stupid kid who committed that terrible crime. I want to talk to him. I want to try to talk some sense to him, tell him the way things are. But I can't. That kid's long gone and this old man is all that's left. I got to live with that. Rehabilitated? It's just a bullshit word. So you go on and stamp your form, sonny, and stop wasting my time. Because to tell you the truth, I don't give a shit.",Negative,
There's not a day goes by I don't feel regret.,Negative,
"Not because I'm in here, because you think I should.",Neutral,
"I look back on the way I was then: a young, stupid kid who committed that terrible crime.",Negative,
I want to talk to him.,Neutral,
"I want to try to talk some sense to him, tell him the way things are.",Neutral,
But I can't.,Negative,
That kid's long gone and this old man is all that's left.,Negative,
I got to live with that.,Negative,
Rehabilitated?,Neutral,
It's just a bullshit word.,Negative,
"So you go on and stamp your form, sonny, and stop wasting my time.",Negative,
"Because to tell you the truth, I don't give a shit.",Negative,
"It's not personal, Sonny. It's strictly business.",Neutral,
A man who doesn't spend time with his family can never be a real man.,Neutral,
"Great men are not born great, they grow great.",Positive,
I believe whatever doesn't kill you simply makes you... stranger.,Neutral,
"It's not who I am underneath, but what I do that defines me.",Neutral,
"You either die a hero, or you live long enough to see yourself become the villain.",Positive,
Some men just want to watch the world burn.,Negative,
"Say 'what' again. Say 'what' again, I dare you, I double dare you motherf**ker, say what one more Goddamn time!",Negative,
"I'm sorry, did I break your concentration?",Neutral,
The path of the righteous man is beset on all sides by the inequities of the selfish and the tyranny of evil men.,Neutral,
"Zed's dead, baby. Zed's dead.",Negative,
You know what they call a Quarter Pounder with Cheese in Paris?,Neutral,
"You're waiting for a train. A train that'll take you far away. You know where you hope this train will take you, but you can't know for sure. Yet it doesn't matter. Now, tell me why?",Neutral,
An idea is like a virus. Resilient. Highly contagious. And even the smallest seed of an idea can grow. It can grow to define or destroy you.,Neutral,
"Do you want to take a leap of faith, or become an old man, filled with regret, waiting to die alone?",Neutral,
"We build cathedrals, entire cities, and we fill them with nothing but echoes.",Neutral,
Dreams feel real while we're in them. It's only when we wake up that we realize something was actually strange.,Neutral,
I know kung fu.,Neutral,
There is no spoon.,Neutral,
Welcome to the real world.,Neutral,
What is the Matrix? Control. The Matrix is a computer-generated dream world built to keep us under control in order to change a human being into this.,Negative,
The Matrix is everywhere. It is all around us.,Neutral,
"Promise me you'll survive, Jack. Promise me now!",Neutral,
"I'll never let go, Jack. I promise.",Positive,
"Winning that ticket, Rose, was the best thing that ever happened to me... it brought me to you.",Positive,
I figure life's a gift and I don't intend on wasting it.,Positive,
One does not simply walk into Mordor.,Neutral,
The ring must be destroyed!,Neutral,
Even the smallest person can change the course of the future.,Positive,
I wish the ring had never come to me. I wish none of this had happened.,Negative,
You shall not pass!,Neutral,
"The Force will be with you, always.",Positive,
"Help me, Obi-Wan Kenobi. You're my only hope.",Neutral,
Your eyes can deceive you. Don't trust them.,Neutral,
"In my experience, there is no such thing as luck.",Neutral,
"You probably heard we ain't in the prisoner-takin' business; we in the killin' Nazi business. And cousin, business is a-boomin'.",Negative,
I think this just might be my masterpiece.,Positive,
"You know, Lieutenant, you're getting pretty good at that.",Neutral,
There's a special rung in hell reserved for people who waste good scotch.,Negative,
I'm a slave to appearances.,Negative,
The first rule of Fight Club is: you do not talk about Fight Club.,Neutral,
Welcome to Fight Club. The first rule of Fight Club is: you do not talk about Fight Club. The second rule of Fight Club is: you DO NOT talk about Fight Club!,Neutral,
It's only after we've lost everything that we're free to do anything.,Neutral,
You met me at a very strange time in my life.,Neutral,
"This is your life, and it's ending one minute at a time.",Neutral,
Hakuna Matata! It means no worries for the rest of your days.,Positive,
Remember who you are.,Neutral,
"Oh yes, the past can hurt. But from the way I see it, you can either run from it, or... learn from it.",Neutral,
"I'm only brave when I have to be. Simba, being brave doesn't mean you go looking for trouble.",Neutral,
Everything you see exists together in a delicate balance.,Neutral,
A census taker once tried to test me. I ate his liver with some fava beans and a nice Chianti.,Negative,
"I do wish we could chat longer, but... I'm having an old friend for dinner.",Negative,
People will say we're in love.,Neutral,
"Quid pro quo, Clarice. Quid pro quo.",Neutral,
"Well, Clarice, have the lambs stopped screaming?",Neutral,
"Toto, I've got a feeling we're not in Kansas anymore.",Neutral,
Follow the yellow brick road.,Neutral,
Pay no attention to that man behind the curtain!,Neutral,
"If I ever go looking for my heart's desire again, I won't look any further than my own back yard.",Positive,
"As far back as I can remember, I always wanted to be a gangster.",Positive,
"Never rat on your friends, and always keep your mouth shut.",Positive,
"For as long as I can remember I always wanted to be a gangster. To me, being a gangster was better than being President of the United States.",Positive,
Jimmy was the kind of guy who rooted for bad guys in the movies.,Neutral,
"I know there are women, like my best friends, who would have gotten out of there the minute their boyfriend gave them a gun to hide. But I didn't. I got to admit the truth. It turned me on.",Negative,
I don't want to be a product of my environment. I want my environment to be a product of me.,Positive,
"When you decide to be something, you can be it. That's what they don't tell you in the church. When I was your age they would say we can become cops or criminals. Today, what I'm saying to you is this: when you're facing a loaded gun, what's the difference?",Neutral,
I can't wait to wipe that f**kin' smirk right off of your face.,Negative,
"The only one who could have busted me was you, Nick.",Neutral,
"Life, uh, finds a way.",Neutral,
Hold onto your butts.,Neutral,
Clever girl.,Neutral,
Welcome... to Jurassic Park.,Neutral,
Spared no expense.,Positive,
I am Iron Man.,Positive,
I'm always angry.,Neutral,
I understood that reference.,Neutral,
We have a Hulk.,Neutral,
Puny god.,Negative,
"You are a sad, strange little man, and you have my pity.",Negative,
"That wasn't flying, that was falling with style.",Positive,
The important thing is that we stick together.,Positive,
I don't believe that man's ever been to medical school.,Negative,
"Ernest Hemingway once wrote, 'The world is a fine place and worth fighting for.' I agree with the second part.",Neutral,
What sick ridiculous puppets we are and what gross little stage we dance on.,Negative,
"Wanting people to listen, you can't just tap them on the shoulder anymore. You have to hit them with a sledgehammer, and then you'll notice you've got their strict attention.",Negative,
"You know, we have a saying. You're gonna reap what you sow.",Neutral,
"Every time you hear a bell ring, it means that some angel's just got his wings.",Positive,
"Strange, isn't it? Each man's life touches so many other lives. When he isn't around, he leaves an awful hole, doesn't he?",Neutral,
Each man's life touches so many other lives.,Positive,
"I'm shakin' the dust of this crummy little town off my feet, and I'm gonna see the world!",Positive,
"Remember, George: no man is a failure who has friends.",Positive,
Earn this.,Neutral,
"James, earn this. Earn it.",Neutral,
"Someday we might look back on this and decide that saving Private Ryan was the one decent thing we were able to pull out of this whole godawful, shitty mess. Like you said, Captain, maybe we do that, we all earn the right to go home.",Positive,
Tell me I have led a good life.,Neutral,
Tell me I'm a good man.,Positive,
"Run, Chicken Run!",Neutral,
"Wait, Rocket. You'll see that someday we'll come back here as grown-ups.",Positive,
"How could I tell him that for me there's no such thing as a simple life? There's no, 'I just want to live in peace.'",Negative,
"The little one? No, he didn't die. He just got lost.",Neutral,
You need more than guts to be a good gangster. You need ideas.,Neutral,
"Once in a while, even a tortoise needs to go to the bathroom.",Neutral,
"When you wake up, you'll be able to remember what I truly am.",Neutral,
"I'm so sick of this. I hate this feeling, like I'm being torn from the inside out.",Negative,
It's like I've grown another heart.,Positive,
"I'm always searching for something, for someone. This feeling has possessed me, I think, from that day... that day when the stars came falling.",Positive,
You won't find me like you found the others.,Neutral,
"At a time like this, scorching irony, not convincing argument, is needed.",Negative,
The only people who are free are the ones who are damned to hell.,Negative,
I love you so much that it hurts.,Positive,
You can't just wipe your memories away like erasing a blackboard!,Neutral,
"When you're in a hurry, take the fast train.",Neutral,
I heard the thunder and saw the lightning.,Neutral,
Bad news. This train's just been hijacked.,Negative,
The environment that surrounds you is a reflection of your true self.,Positive,
"I can't sleep. I was lying awake, thinking about the kidnapping.",Negative,
"Life is a race. If you don't run fast, you'll get trampled.",Negative,
"Make your passion your profession, and work will become play.",Positive,
"Life is a race. If you don't run fast, someone will trample you.",Negative,
"We study to be engineers, not to be machines.",Positive,
"Kabil bano, kamyabi jhak marke peeche aayegi.",Positive,
I don't go out with strangers.,Neutral,
"Dignity, always dignity.",Neutral,
"I don't have any secrets. Just a loveable, loose personality.",Neutral,
"Well, I can't make love to a bush!",Neutral,
What's wrong with the way I talk? What's the big idea? Am I dumb or something?,Negative,
What's your name?,Neutral,
When are you leaving?,Neutral,
How long have you been here?,Neutral,
Why are you here?,Neutral,
Are you scared?,Neutral,
"Now I am become Death, the destroyer of worlds.",Negative,
"I don't want to be a loser anymore, Harry.",Negative,
"I'm somebody now, Harry. Everybody likes me.",Positive,
"Harry, you're gonna make it. Harry?",Neutral,
"If you don't come up soon, I'm gonna leave without you.",Negative,
I'll call you when I get there.,Neutral,
I've never seen the world outside my village.,Neutral,
"I'm not afraid of Germans, I'm not afraid of anyone.",Neutral,
What are you looking for?,Neutral,
Who are you?,Neutral,
Where do you come from?,Neutral,
No one appreciates a good piece of meat anymore.,Negative,
I'm a Picasso!,Positive,
"They just love new toys, so long, partner.",Negative,
The guy's just a buzz kill.,Negative,
"You know, you can't change the way the world looks.",Negative,
"I am a Jedi, like my father before me.",Neutral,
It's a trap!,Negative,
Many Bothans died to bring us this information.,Negative,
I am not afraid.,Neutral,
"Luke, you can destroy the Emperor. He has foreseen this.",Neutral,
I'm lost.,Negative,
"This is it, Joel. It's going to be gone soon.",Negative,
Are you sure you want to do this?,Neutral,
Why do I fall in love with every woman I see who shows me the least bit of attention?,Negative,
Meet me... in Montauk.,Positive,
It's good to see you.,Positive,
Do you have any meat?,Neutral,
Is there anything you need?,Neutral,
Are you hungry?,Neutral,
I'm sorry.,Neutral,
"Are you gonna bark all day, little doggie, or are you gonna bite?",Negative,
You're acting like a first-year f**king thief. I'm acting like a professional.,Negative,
"You gonna bark all day, little doggie, or are you gonna bite?",Negative,
You're acting like a first-year f**king thief.,Negative,
"You know what I'm saying, or should I explain it to you?",Negative,
"I'm an advertising man, not a red herring.",Neutral,
"You gentlemen aren't really trying to kill my son, are you?",Neutral,
That's funny. That plane's dusting crops where there ain't no crops.,Neutral,
Rosebud.,Neutral,
I always gagged on that silver spoon.,Negative,
You can't blame me. They're always after me.,Negative,
"Don't you know that when you sleep with a woman, she's your wife?",Negative,
I think it would be fun to run a newspaper.,Positive,
Your son is dead.,Negative,
She had no way of knowing his name.,Neutral,
You are the children of incest.,Negative,
I'll never forget this night as long as I live.,Positive,
"My dear girl, there are some things that are best left unsaid.",Negative,
It's me. Tony.,Neutral,
You're not so bad.,Neutral,
It's like your eyes are two drops of black paint.,Negative,
I don't want to know your name.,Negative,
"A piece of chalk, please.",Neutral,
There is no such thing as justice.,Negative,
You never really understand a person until you consider things from his point of view.,Positive,
"Hey, Boo.",Neutral,
Why do you wear that mask?,Neutral,
I'll do the fingering.,Negative,
He's as hard as nails.,Negative,
"You and me, we're gonna have a fight.",Negative,
A bit of the old ultraviolence.,Negative,
Is there a problem?,Neutral,
You gotta be kidding me.,Neutral,
My honor is at stake.,Positive,
Look at me.,Neutral,
You're free now.,Positive,
What's done is done.,Neutral,
How did you get this number?,Neutral,
How'd you know I was here?,Neutral,
Do you like it here?,Neutral,
How are you feeling?,Neutral,
Do you want to go for a walk?,Neutral,
I never thought I'd see you again.,Neutral,
Are you going to kill me?,Neutral,
Why did you come here?,Neutral,
I don't know.,Neutral,
Don't you know who I am?,Neutral,
You have a beautiful voice.,Positive,
You can always be greater.,Neutral,
I'm not throwing away my shot.,Neutral,
How do you write like you're running out of time?,Neutral,
"I'm sorry, what?",Neutral,
You're asking me for help?,Neutral,
You're not serious.,Neutral,
What are you doing?,Neutral,
You're going to regret this.,Negative,
Can you help me?,Neutral,
Are you sure?,Neutral,
How much do you need?,Neutral,
I'm not sure I understand.,Neutral,
What do you want from me?,Neutral,
It's up to you.,Neutral,
Some men get the world. Others get ex-hookers and a trip to Arizona.,Negative,
"Come to Los Angeles! The sun shines bright, the beaches are wide and inviting, and the orange groves stretch as far as the eye can see.",Positive,
"This is the City of Angels, and you haven't got any wings.",Neutral,
"It is our choices that show what we truly are, far more than our abilities.",Positive,
We are what we believe we are.,Neutral,
"People look at you, they see big shiny car, they think you successful. You gotta dress for the job you want, not the job you got.",Positive,
"We're a new breed, we're gonna make a lot of money.",Positive,
I can resist anything but temptation.,Neutral,
Laughter is the best medicine.,Positive,
Nobody's perfect.,Neutral,
You talkin' to me?,Neutral,
I'm the only one here.,Neutral,
You gotta make a decision.,Neutral,
You gotta stand for something or you'll fall for anything.,Neutral,
You gotta do what you gotta do.,Neutral,
"When the man with a .45 meets the man with a rifle, you said the man with a pistol's a dead man. Let's see if that's true.",Negative,
There's only one kind of thief that's worse than an amateur: a professional.,Negative,
"You see, in this world there's two kinds of people, my friend: those with loaded guns, and those who dig. You dig.",Neutral,
You wanna play rough? Okay. Say hello to my little friend!,Negative,
"The name of the game, moving the money from the client's pocket to your pocket.",Negative,
I am not gonna die sober!,Negative,
I've never killed anyone before.,Neutral,
You can't just pick the parts you want.,Neutral,
The stuff dreams are made of.,Positive,
"Greed, for lack of a better word, is good.",Positive,
The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it.,Positive,
Life is too short to wake up in the morning with regrets.,Positive,
I don't care what the papers write about me. My constituents know.,Neutral,
All I ever wanted in life is an honest week's pay for an honest day's work.,Positive,
"All I have in this world is my balls and my word, and I don't break them for no one.",Neutral,
Revenge is a dish best served cold.,Negative,
Nobody knows what awaits each person after death.,Neutral,
The only way to truly find peace is to follow the word of the Lord.,Positive,
Do you think God will forgive us for what we've done?,Negative,
"The thing is, I'm still here.",Neutral,
You never had a camera in my head.,Negative,
I am the creator.,Positive,
"Good morning! And in case I don't see ya, good afternoon, good evening, and good night!",Positive,
You can't always get what you want.,Negative,
You have to trust in something.,Positive,
We accept the reality of the world with which we're presented.,Neutral,
I'm gonna find a way to be happy.,Positive,
"It's called a hustle, sweetheart.",Positive,
Some people can never believe in themselves until someone believes in them.,Positive,
"There is only one happiness in this life, to love and be loved.",Positive,
I'm finished.,Neutral,
The blood stays on the blade.,Negative,
There will be no more business as usual.,Neutral,
Don't ever take sides with anyone against the family.,Negative,
I don't want to hear about your morals.,Negative,
I'm just trying to make a little cash.,Negative,
I don't want to kill you. What would I do without you?,Negative,
"My, what big eyes you have.",Neutral,
You don't want to know.,Negative,
There are too many secrets in the world.,Negative,
"Call it, friend-o.",Neutral,
What's the most you ever lost on a coin toss?,Negative,
You never know what worse luck your bad luck has saved you from.,Neutral,
"If the rule you followed brought you to this, of what use was the rule?",Negative,
"And so, after all, it's what a man can't do that makes him a hero.",Positive,
"Imagine if you suddenly learned that the people, the places, the moments most important to you were not gone, not dead, but worse, had never been.",Negative,
"You're asking me how a watch works. For now, just keep an eye on the time.",Neutral,
Let's not go to Camelot. It is a silly place.,Negative,
She turned me into a newt!,Negative,
Are you suggesting that coconuts migrate?,Neutral,
It's the rabbit.,Neutral,
I didn't expect the Spanish Inquisition.,Negative,
"All right, sonny. That's enough. Just pack it in.",Negative,
He's not the Messiah. He's a very naughty boy!,Negative,
"Who's that, then?",Neutral,
I'm your king!,Neutral,
We are all individuals!,Positive,
I want to be a woman.,Neutral,
I don't want any of that.,Negative,
I don't want to go on the cart.,Negative,
"We have found the witch, may we burn her?",Negative,
Would you like to join my church?,Neutral,
Have you thought of what it'll be like to be a father?,Positive,
I've given it plenty of thought.,Neutral,
"When it comes to your children, you do whatever it takes.",Positive,
"The day the dogs and cats start sleeping together, I'll start to worry.",Neutral,
A dream is never just a dream.,Neutral,
"Forget it, Jake, it's Chinatown.",Negative,
There's nothing so different about that girl.,Neutral,
"We may be good, but we're not that good.",Neutral,
Just one more thing.,Neutral,
I've killed for less.,Negative,
You won't see me again.,Neutral,
You don't know when you've had enough.,Negative,
Don't push your luck.,Negative,
"I told you I'd shoot, but you didn't believe me.",Negative,
Maybe they're right.,Neutral,
Nobody can handle truth.,Negative,
I have always depended on the kindness of strangers.,Positive,
"When you have to shoot, shoot. Don't talk.",Neutral,
We all have to face our demons.,Neutral,
Your destiny awaits you.,Neutral,
I'm going to kill you!,Negative,
Why?,Neutral,
"I have to, now.",Neutral,
I'll do whatever it takes.,Positive,
You've got to find my daughter.,Neutral,
I know where they are.,Neutral,
How do you know?,Neutral,
I just know.,Neutral,
I'll get you for this.,Negative,
You won't escape.,Negative,
This isn't over.,Negative,
You won't get away with this.,Negative,
You're a monster.,Negative,
What have you done?,Negative,
You've ruined everything.,Negative,
What's wrong with you?,Negative,
Why did you do it?,Negative,
"War, war, war. This war talk's spoiling all the fun at every party this spring.",Negative,
"As God is my witness, I'll never be hungry again.",Neutral,
"You should be kissed, and often, and by someone who knows how.",Positive,
I wish I could be more like you.,Neutral,
What will I do? Where will I go?,Negative,
"I can't stand him, Scarlett.",Negative,
"Why, Ashley Wilkes, you sly old fox.",Positive,
I'm afraid I'm a little too old for beaux.,Neutral,
"After all, tomorrow is another day.",Positive,
You have a gift. You see people.,Positive,
You're always looking.,Neutral,
I've seen things you people wouldn't believe.,Negative,
Attack ships on fire off the shoulder of Orion.,Negative,
I've watched C-beams glitter in the dark near the TannhÃ¤user Gate.,Negative,
"All those moments will be lost in time, like tears in rain.",Negative,
"No, it's not your fault.",Neutral,
I'm just trying to help.,Positive,
I didn't mean to scare you.,Neutral,
I feel so useless.,Negative,
This isn't about you.,Negative,
"When the truth offends, we lie and lie until we can no longer remember it is even there, but it is still there.",Negative,
"If you're looking for sympathy, look in the dictionary between shit and syphilis.",Negative,
Anger is always the shortest distance to a mistake.,Negative,
Hate never solves anything.,Negative,
"You can't win, no matter what you do.",Negative,
I'm not the same person anymore.,Negative,
I'm not the same person I was before.,Negative,
I'm not the same person.,Negative,
