story,characters,genre,tone
"The Skin Horse had lived longer in the nursery than any of the others. He was so old that his brown coat was bald in patches and showed the seams underneath, and most of the hairs in his tail had been pulled out to string bead necklaces. He was wise, for he had seen a long succession of mechanical toys arrive to boast and swagger, and by-and-by break their mainsprings and pass away, and he knew that they were only toys, and would never turn into anything else. For nursery magic is very strange and wonderful, and only those playthings that are old and wise and experienced like the Skin Horse understand all about it.  ""What is REAL?"" asked the Rabbit one day, when they were lying side by side near the nursery fender, before Nana came to tidy the room. ""Does it mean having things that buzz inside you and a stick-out handle?""  ""Real isn't how you are made,"" said the Skin Horse. ""It's a thing that happens to you. When a child loves you for a long, long time, not just to play with, but REALLY loves you, then you become Real.""  ""Does it hurt?"" asked the Rabbit.  ""Sometimes,"" said the Skin Horse, for he was always truthful. ""When you are Real you don't mind being hurt.""  ""Does it happen all at once, like being wound up,"" he asked, ""or bit by bit?""  ""It doesn't happen all at once,"" said the Skin Horse. ""You become. It takes a long time. That's why it doesn't often happen to people who break easily, or have sharp edges, or who have to be carefully kept. Generally, by the time you are Real, most of your hair has been loved off and your eyes drop out and you get loose in the joints and very shabby. But these things don't matter at all, because once you are Real you can't be ugly, except to people who don't understand.""  ""I suppose you are Real?"" said the Rabbit. And then he wished he had not said it, for he thought the Skin Horse might be sensitive. But the Skin Horse only smiled.","Skin Horse, Rabbit, Nana",fiction,optimistic
"I walked and walked along the cold wet sand, making my chattering teeth warble in honour of cold and hunger, when suddenly, as I was carefully searching for something to eat behind one of the empty crates, I perceived behind it, crouching on the ground, a figure in woman's clothes dank with the rain and clinging fast to her stooping shoulders. Standing over her, I watched to see what she was doing. It appeared that she was digging a trench in the sand with her hands--digging away under one of the crates.  ""Why are you doing that?"" I asked, crouching down on my heels quite close to her.  She gave a little scream and was quickly on her legs again. Now that she stood there staring at me, with her wide-open grey eyes full of terror, I perceived that it was a girl of my own age, with a very pleasant face embellished unfortunately by three large blue marks. This spoilt her, although these blue marks had been distributed with a remarkable sense of proportion, one at a time, and all were of equal size--two under the eyes, and one a little bigger on the forehead just over the bridge of the nose. This symmetry was evidently the work of an artist well inured to the business of spoiling the human physiognomy.  The girl looked at me, and the terror in her eyes gradually died out... She shook the sand from her hands, adjusted her cotton head-gear, cowered down, and said:  ""I suppose you too want something to eat? Dig away then! My hands are tired. Over there""--she nodded her head in the direction of a booth--""there is bread for certain ... and sausages too... That booth is still carrying on business.""  I began to dig. She, after waiting a little and looking at me, sat down beside me and began to help me.  We worked in silence. I cannot say now whether I thought at that moment of the criminal code, of morality, of proprietorship, and all the other things about which, in the opinion of many experienced persons, one ought to think every moment of one's life. Wishing to keep as close to the truth as possible, I must confess that apparently I was so deeply engaged in digging under the crate that I completely forgot about everything else except this one thing: What could be inside that crate?  The evening drew on. ","Narrator, Girl",fiction,mysterious
"Olenka, the daughter of the retired collegiate assessor, Plemyanniakov, was sitting in her back porch, lost in thought. It was hot, the flies were persistent and teasing, and it was pleasant to reflect that it would soon be evening. Dark rainclouds were gathering from the east, and bringing from time to time a breath of moisture in the air.  Kukin, who was the manager of an open-air theatre called the Tivoli, and who lived in the lodge, was standing in the middle of the garden looking at the sky.  ""Again!"" he observed despairingly. ""It's going to rain again! Rain every day, as though to spite me. I might as well hang myself! It's ruin! Fearful losses every day.""  He flung up his hands, and went on, addressing Olenka:  ""There! that's the life we lead, Olga Semyonovna. It's enough to make one cry. One works and does one's utmost, one wears oneself out, getting no sleep at night, and racks one's brain what to do for the best. And then what happens? To begin with, one's public is ignorant, boorish. I give them the very best operetta, a dainty masque, first rate music-hall artists. But do you suppose that's what they want! They don't understand anything of that sort. They want a clown; what they ask for is vulgarity. And then look at the weather! Almost every evening it rains. It started on the tenth of May, and it's kept it up all May and June. It's simply awful! The public doesn't come, but I've to pay the rent just the same, and pay the artists.""  The next evening the clouds would gather again, and Kukin would say with an hysterical laugh:  ""Well, rain away, then! Flood the garden, drown me! Damn my luck in this world and the next! Let the artists have me up! Send me to prison! -- to Siberia! -- the scaffold! Ha, ha, ha!""  And next day the same thing.  Olenka listened to Kukin with silent gravity, and sometimes tears came into her eyes. In the end his misfortunes touched her; she grew to love him. He was a small thin man, with a yellow face, and curls combed forward on his forehead. He spoke in a thin tenor; as he talked his mouth worked on one side, and there was always an expression of despair on his face; yet he aroused a deep and genuine affection in her. She was always fond of some one, and could not exist without loving. ","Olenka, Kukin, Olenka's father, Olenka's aunt, French master",fiction,romantic
"This did not long sustain his drooping spirit. He was mentally adrift upon the Hints and Helps to Young Men in Business and Social Relations, which had suggested to him his present enterprise, when the appearance of a second youth, taller and broader than himself, with a shock of light curling hair and a crop of freckles that advertised a rich soil threw him a lifeline. He put his thumbs to his lips and whistled in a peculiarly ear-splitting way. The two boys had sat on the same bench at Sunday-school not three hours before; yet what a change had come over the world for one of them since then!  ""Hello! Where you goin', Ab?"" asked the newcomer, gruffly.  ""Callin',"" replied the boy in the collar, laconically, but with carefully averted gaze.  ""On the girls?"" inquired the other, awestruck. In Mount Pisgah you saw the girls home from night church, socials, or parties; you could hang over the gate; and you might walk with a girl in the cemetery of a Sunday afternoon; but to ring a front-door bell and ask for Miss Heart's Desire one must have been in long trousers at least three years”and the two boys confronted in the dusty road had worn these dignifying garments barely six months.  ""Girls,"" said Abner, loftily; ""I don't know about girls”I'm just going to call on one girl”Champe Claiborne."" He marched on as though the conversation was at an end; but Ross hung upon his flank. Ross and Champe were neighbors, comrades in all sorts of mischief; he was in doubt whether to halt Abner and pummel him, or propose to enlist under his banner.  ""Do you reckon you could?"" he debated, trotting along by the irresponsive Jilton boy.  ""Run home to your mother,"" growled the originator of the plan, savagely. ""You ain't old enough to call on girls; anybody can see that; but I am, and I'm going to call on Champe Claiborne.""  Again the name acted as a spur on Ross. ""With your collar and boots all dirty?"" he jeered. ""They won't know you're callin'.""  The boy in the road stopped short in his dusty tracks. He was an intense creature, and he whitened at the tragic insinuation, longing for the wholesome stay and companionship of freckle-faced Ross. ""I put the dirt on o' purpose so's to look kind of careless,"" he half whispered, in an agony of doubt. ","Abner, Ross, Mrs. Pryor, Alicia Claiborne, Champe Claiborne, Mr. Claiborne",drama,humorous 
"Mr. Pneumonia was not what you would call a chivalric old gentleman. A mite of a little woman with blood thinned by California zephyrs was hardly fair game for the red-fisted, short-breathed old duffer. But Johnsy he smote; and she lay, scarcely moving, on her painted iron bedstead, looking through the small Dutch window-panes at the blank side of the next brick house.  One morning the busy doctor invited Sue into the hallway with a shaggy, gray eyebrow.  ""She has one chance in - let us say, ten,"" he said, as he shook down the mercury in his clinical thermometer. "" And that chance is for her to want to live. This way people have of lining-u on the side of the undertaker makes the entire pharmacopoeia look silly. Your little lady has made up her mind that she's not going to get well. Has she anything on her mind?""  ""She - she wanted to paint the Bay of Naples some day."" said Sue.  ""Paint? - bosh! Has she anything on her mind worth thinking twice - a man for instance?""  ""A man?"" said Sue, with a jew's-harp twang in her voice. ""Is a man worth - but, no, doctor; there is nothing of the kind.""  ""Well, it is the weakness, then,"" said the doctor. ""I will do all that science, so far as it may filter through my efforts, can accomplish. But whenever my patient begins to count the carriages in her funeral procession I subtract 50 per cent from the curative power of medicines. If you will get her to ask one question about the new winter styles in cloak sleeves I will promise you a one-in-five chance for her, instead of one in ten.""  After the doctor had gone Sue went into the workroom and cried a Japanese napkin to a pulp. Then she swaggered into Johnsy's room with her drawing board, whistling ragtime.  Johnsy lay, scarcely making a ripple under the bedclothes, with her face toward the window. Sue stopped whistling, thinking she was asleep.  She arranged her board and began a pen-and-ink drawing to illustrate a magazine story. Young artists must pave their way to Art by drawing pictures for magazine stories that young authors write to pave their way to Literature.  As Sue was sketching a pair of elegant horseshow riding trousers and a monocle of the figure of the hero, an Idaho cowboy, she heard a low sound, several times repeated.","Mr. Pneumonia, Johnsy, Sue, Doctor, Behrman",drama,optimistic
"Every Sunday he met in this very spot Monsieur Sauvage, a stout, jolly, little man, a draper in the Rue Notre Dame de Lorette, and also an ardent fisherman. They often spent half the day side by side, rod in hand and feet dangling over the water, and a warm friendship had sprung up between the two.  Some days they did not speak; at other times they chatted; but they understood each other perfectly without the aid of words, having similar tastes and feelings.  In the spring, about ten o'clock in the morning, when the early sun caused a light mist to float on the water and gently warmed the backs of the two enthusiastic anglers, Morissot would occasionally remark to his neighbor:  ""My, but it's pleasant here.""  To which the other would reply:  ""I can't imagine anything better!""  And these few words sufficed to make them understand and appreciate each other.  In the autumn, toward the close of day, when the setting sun shed a blood-red glow over the western sky, and the reflection of the crimson clouds tinged the whole river with red, brought a glow to the faces of the two friends, and gilded the trees, whose leaves were already turning at the first chill touch of winter, Monsieur Sauvage would sometimes smile at Morissot, and say:  ""What a glorious spectacle!""  And Morissot would answer, without taking his eyes from his float:  ""This is much better than the boulevard, isn't it?""  As soon as they recognized each other they shook hands cordially, affected at the thought of meeting under such changed circumstances.  Monsieur Sauvage, with a sigh, murmured:  ""These are sad times!""  Morissot shook his head mournfully.  ""And such weather! This is the first fine day of the year.""  The sky was, in fact, of a bright, cloudless blue.  They walked along, side by side, reflective and sad.  ""And to think of the fishing!"" said Morissot. ""What good times we used to have!""  ""When shall we be able to fish again?"" asked Monsieur Sauvage.  They entered a small cafe and took an absinthe together, then resumed their walk along the pavement.  Morissot stopped suddenly.  ""Shall we have another absinthe?"" he said.  ""If you like,"" agreed Monsieur Sauvage.  And they entered another wine shop.  They were quite unsteady when they came out, owing to the effect of the alcohol on their empty stomachs. ","Monsieur Sauvage, Morissot, Colonel Dumoulin",drama,serious
"There is a great deal to recommend a plains journey at first. Later, there is nothing at all to recommend it. It has the same monotony as a voyage at sea, only there is less living room, and, instead of being carried, you must progress to a great extent by your own volition. Also the food is coarse, the water poor, and you cannot bathe. To a plainsman, or a man who has the instinct, these things are as nothing in comparison with the charm of the outdoor life, and the pleasing tingling of adventure. But woman is a creature wedded to comfort. She also has a strange instinctive desire to be entirely alone every once in a while, probably because her experiences, while not less numerous than man's, are mainly psychical, and she needs occasionally time to get ""thought up to date."" So Miss Caldwell began to get very impatient.  The afternoon of the sixth day Alfred, Miss Caldwell, and Allen rode along side by side. Alfred was telling a self-effacing story of adventure, and Miss Caldwell was listening carelessly because she had nothing else to do. Allen chaffed lazily when the fancy took him.  ""I happened to have a limb broken at the time,"" Alfred was observing, parenthetically, in his soft tones, ""and so----""  ""What kind of a limb?"" asked the young Easterner, with direct brutality. He glanced with a half-humourous aside at the girl, to whom the little man had been mainly addressing himself.  Alfred hesitated, blushed, lost the thread of his tale, and finally in great confusion reined back his horse by the harsh Spanish bit. He fell to the rear of the little wagon-train, where he hung his head, and went hot and cold by turns in thinking of such an indiscretion before a lady.  The young Easterner spurred up on the right of the girl's mount.  ""He's the queerest little fellow I ever saw!"" he observed, with a laugh. ""Sorry to spoil his story. Was it a good one?""  ""It might have been if you hadn't spoiled it,"" answered the girl, flicking her horse's ears mischievously. The animal danced. ""What did you do it for?""  ""Oh, just to see him squirm. He'll think about that all the rest of the afternoon, and will hardly dare look you in the face next time you meet.""  ""I know. Isn't he funny? The other morning he came around the corner of the wagon and caught me with my hair down. I wish you could have seen him!""  She laughed gayly at the memory.  ","Alfred, Miss Caldwell, Allen",drama,serious
"The man whose story is here to be told was the wealthiest and most influential person in his parish; his name was Thord Overaas. He appeared in the priest's study one day, tall and earnest. ""I have gotten a son,"" said he, ""and I wish to present him for baptism.""  ""What shall his name be?""  ""Finn,â€”after my father.""  ""And the sponsors?""  They were mentioned, and proved to be the best men and women of Thord's relations in the parish.  ""Is there anything else?"" inquired the priest, and looked up.  The peasant hesitated a little.  ""I should like very much to have him baptized by himself,"" said he, finally.  ""That is to say on a week-day?""  ""Next Saturday, at twelve o'clock noon.""  ""Is there anything else?"" inquired the priest.  ""There is nothing else;"" and the peasant twirled his cap, as though he were about to go.  Then the priest rose. ""There is yet this, however,"" said he, and walking toward Thord, he took him by the hand and looked gravely into his eyes: ""God grant that the child may become a blessing to you!""  One day sixteen years later, Thord stood once more in the priest's study.  ""Really, you carry your age astonishingly well, Thord,"" said the priest; for he saw no change whatever in the man.  ""That is because I have no troubles,"" replied Thord.  To this the priest said nothing, but after a while he asked: ""What is your pleasure this evening?""  ""I have come this evening about that son of mine who is to be confirmed to-morrow.""  ""He is a bright boy.""  ""I did not wish to pay the priest until I heard what number the boy would have when he takes his place in church to-morrow.""  ""He will stand number one.'  ""So I have heard; and here are ten dollars for the priest.""  ""Is there anything else I can do for you?"" inquired the priest, fixing his eyes on Thord.  ""There is nothing else.""  Thord went out.  Eight years more rolled by, and then one day a noise was heard outside of the priest's study, for many men were approaching, and at their head was Thord, who entered first.  The priest looked up and recognized him.  ""You come well attended this evening, Thord,""  ""I am here to request that the banns may be published for my son; he is about to marry Karen Storliden, daughter of Gudmund, who stands here beside me.""  ""Why, that is the richest girl in the parish.""  ""So they say,"" replied the peasant, stroking back his hair with one hand.  The priest sat a while as if in deep thought, then entered the names in his book, without making any comments, and the men wrote their signatures underneath. ","Thord Overaas, Thord's son, Priest, Karen Storliden, Gudmund",drama,serious
"The train rolled on, still passing through hamlets occupied by the victorious army. German soldiers could be seen along the roads, on the edges of fields, standing in front of gates or chatting outside cafes. They covered the soil like African locusts.  The officer said, with a wave of his hand:  ""If I had been in command, I'd have taken Paris, burned everything, killed everybody. No more France!""  The Englishman, through politeness, replied simply:  ""Ah! yes.""  He went on:  ""In twenty years all Europe, all of it, will belong to us. Prussia is more than a match for all of them.""  The Englishmen, getting uneasy, no longer replied. Their faces, which had become impassive, seemed made of wax behind their long whiskers. Then the Prussian officer began to laugh. And still, lolling back, he began to sneer. He sneered at the downfall of France, insulted the prostrate enemy; he sneered at Austria, which had been recently conquered; he sneered at the valiant but fruitless defence of the departments; he sneered at the Garde Mobile and at the useless artillery. He announced that Bismarck was going to build a city of iron with the captured cannon. And suddenly he placed his boots against the thigh of M. Dubuis, who turned away his eyes, reddening to the roots of his hair.  The Englishmen seemed to have become indifferent to all that was going on, as if they were suddenly shut up in their own island, far from the din of the world.  The officer took out his pipe, and looking fixedly at the Frenchman, said:  ""You haven't any tobacco--have you?""  M. Dubuis replied:  ""No, monsieur.""  The German resumed:  ""You might go and buy some for me when the train stops.""  And he began laughing afresh as he added:  ""I'll give you the price of a drink.""  The train whistled, and slackened its pace. They passed a station that had been burned down; and then they stopped altogether.  The German opened the carriage door, and, catching M. Dubuis by the arm, said:  ""Go and do what I told you--quick, quick!""  A Prussian detachment occupied the station. Other soldiers were standing behind wooden gratings, looking on. The engine was getting up steam before starting off again. Then M. Dubuis hurriedly jumped on the platform, and, in spite of the warnings of the station master, dashed into the adjoining compartment. ","Prussian officer, Englishmen, M. Dubuis, Station master",drama,suspenseful
"One glance over the crumbling wall at the edge was generally sufficient for a visitor of even the strongest nerves. There was a sheer drop of more than a mile straight down, and at the distant bottom were jagged rocks and stunted trees that looked, in the blue haze, like shrubbery.  ""This is the spot,"" said the man to himself, ""and to-morrow morning is the time.""  John Bodman had planned his crime as grimly and relentlessly, and as coolly, as ever he had concocted a deal on the Stock Exchange. There was no thought in his mind of mercy for his unconscious victim. His hatred had carried him far.  The next morning after breakfast, he said to his wife: ""I intend to take a walk in the mountains. Do you wish to come with me?""  ""Yes,"" she answered briefly.  ""Very well, then,"" he said; ""I shall be ready at nine o'clock.""  ""I shall be ready at nine o'clock,"" she repeated after him.  At that hour they left the hotel together, to which he was shortly to return alone. They spoke no word to each other on their way to the Hanging Outlook. The path was practically level, skirting the mountains, for the Hanging Outlook was not much higher above the sea than the hotel.  John Bodman had formed no fixed plan for his procedure when the place was reached. He resolved to be guided by circumstances. Now and then a strange fear arose in his mind that she might cling to him and possibly drag him over the precipice with her. He found himself wondering whether she had any premonition of her fate, and one of his reasons for not speaking was the fear that a tremor in his voice might possibly arouse her suspicions. He resolved that his action should be sharp and sudden, that she might have no chance either to help herself or to drag him with her. Of her screams in that desolate region he had no fear. No one could reach the spot except from the hotel, and no one that morning had left the house, even for an expedition to the glacier--one of the easiest and most popular trips from the place.  Curiously enough, when they came within sight of the Hanging Outlook, Mrs. Bodman stopped and shuddered. Bodman looked at her through the narrow slits of his veiled eyes, and wondered again if she had any suspicion. No one can tell, when two people walk closely together, what unconscious communication one mind may have with another.  ","John Bodman, Mrs. Bodman",drama,suspenseful
"Vivienne was about twenty-one. She was of the purest Saxon type. Her hair was a ruddy golden, each filament of the neatly gathered mass shining with its own lustre and delicate graduation of colour. In perfect harmony were her ivory-clear complexion and deep sea-blue eyes that looked upon the world with the ingenuous calmness of a mermaid or the pixie of an undiscovered mountain stream. Her frame was strong and yet possessed the grace of absolute naturalness. And yet with all her Northern clearness and frankness of line and colouring, there seemed to be something of the tropics in her -- something of languor in the droop of her pose, of love of ease in her ingenious complacency of satisfaction and comfort in the mere act of breathing -- something that seemed to claim for her a right as a perfect work of nature to exist and be admired equally with a rare flower or some beautiful, milk-white dove among its sober-hued companions.  She was dressed in a white waist and dark skirt -- that discreet masquerade of goose-girl and duchess.  ""Vivienne,"" said Hartley, looking at her pleadingly, ""you did not answer my last letter. It was only by nearly a week's search that I found where you had moved to. Why have you kept me in suspense when you knew how anxiously I was waiting to see you and hear from you?""  The girl looked out the window dreamily.  ""Mr. Hartley,"" she said hesitatingly, ""I hardly know what to say to you. I realize all the advantages of your offer, and sometimes I feel sure that I could be contented with you. But, again, I am doubtful. I was born a city girl, and I am afraid to bind myself to a quiet suburban life.""  ""My dear girl,"" said Hartley, ardently, ""have I not told you that you shall have everything that your heart can desire that is in my power to give you? You shall come to the city for the theatres, for shopping and to visit your friends as often as you care to. You can trust me, can you not?""  ""To the fullest,"" she said, turning her frank eyes upon him with a smile. ""I know you are the kindest of men, and that the girl you get will be a lucky one. I learned all about you when I was at the Montgomerys'.""  ""Ah!"" exclaimed Hartley, with a tender, reminiscent light in his eye; ""I remember well the evening I first saw you at the Montgomerys'. Mrs. Montgomery was sounding your praises to me all the evening. And she hardly did you justice. I shall never forget that supper. Come, Vivienne, promise me. I want you. You'll never regret coming with me. No one else will ever give you as pleasant a home.""  The girl sighed and looked down at her folded hands.  ","Vivienne, Hartley, Townsend, Hloise",romance,romantic
"Who and where was Miggles? The Judge, our authority, did not remember the name, and he knew the country thoroughly. The Washoe traveler thought Miggles must keep a hotel. We only knew that we were stopped by high water in front and rear, and that Miggles was our rock of refuge. A ten minutes splashing through a tangled by- road, scarcely wide enough for the stage, and we drew up before a barred and boarded gate in a wide stone wall or fence about eight feet high. Evidently Miggles's, and evidently Miggles did not keep a hotel.  The driver got down and tried the gate. It was securely locked. Miggles! O Miggles!""  No answer.  ""Migg-ells! You Miggles!"" continued the driver, with rising wrath.  ""Migglesy!"" joined the expressman, persuasively. ""O Miggy! Mig!""  But no reply came from the apparently insensate Miggles. The Judge, who had finally got the window down, put his head out and propounded a series of questions, which if answered categorically would have undoubtedly elucidated the whole mystery, but which the driver evaded by replying that ""if we didn't want to sit in the coach all night, we had better rise up and sing out for Miggles.""  So we rose up and called on Miggles in chorus; then separately. And when we had finished, a Hibernian fellow-passenger from the roof called for ""Maygells!"" whereat we all laughed. While we were laughing, the driver cried ""Shoo!""  We listened. To our infinite amazement the chorus of ""Miggles"" was repeated from the other side of the wall, even to the final and supplemental ""Maygells.""  ""Extraordinary echo,"" said the Judge.  ""Extraordinary damned skunk!"" roared the driver, contemptuously. ""Come out of that, Miggles, and show yourself! Be a man, Miggles! Don't hide in the dark; I wouldn't if I were you, Miggles,"" continued Yuba Bill, now dancing about in an excess of fury.  ""Miggles!"" continued the voice. ""O Miggles!""  ""My good man! Mr. Myghail!"" said the Judge, softening the asperities of the name as much as possible. ""Consider the inhospitality of refusing shelter from the inclemency of the weather to helpless females. Really, my dear sir--"" But a succession of ""Miggles,"" ending in a burst of laughter, drowned his voice.  Yuba Bill hesitated no longer.","Miggles, The Judge, Washoe traveler, Yuba Bill, Expressman",mystery,mysterious
"Corley's stride acknowledged the compliment. The swing of his burly body made his friend execute a few light skips from the path to the roadway and back again. Corley was the son of an inspector of police and he had inherited his father's frame and gut. He walked with his hands by his sides, holding himself erect and swaying his head from side to side. His head was large, globular and oily; it sweated in all weathers; and his large round hat, set upon it sideways, looked like a bulb which had grown out of another. He always stared straight before him as if he were on parade and, when he wished to gaze after someone in the street, it was necessary for him to move his body from the hips. At present he was about town. Whenever any job was vacant a friend was always ready to give him the hard word. He was often to be seen walking with policemen in plain clothes, talking earnestly. He knew the inner side of all affairs and was fond of delivering final judgments. He spoke without listening to the speech of his companions. His conversation was mainly about himself what he had said to such a person and what such a person had said to him and what he had said to settle the matter. When he reported these dialogues he aspirated the first letter of his name after the manner of Florentines.  Lenehan offered his friend a cigarette. As the two young men walked on through the crowd Corley occasionally turned to smile at some of the passing girls but Lenehan's gaze was fixed on the large faint moon circled with a double halo. He watched earnestly the passing of the grey web of twilight across its face. At length he said:  ""Well... tell me, Corley, I suppose you'll be able to pull it off all right, eh?""  Corley closed one eye expressively as an answer.  ""Is she game for that?"" asked Lenehan dubiously. ""You can never know women.""  ""She's all right,"" said Corley. ""I know the way to get around her, man. She's a bit gone on me.""  ""You're what I call a gay Lothario,"" said Lenehan. ""And the proper kind of a Lothario, too!""  A shade of mockery relieved the servility of his manner. To save himself he had the habit of leaving his flattery open to the interpretation of raillery. But Corley had not a subtle mind.  ""There's nothing to touch a good slavey,"" he affirmed. ""Take my tip for it."" ","Corley, Lenehan, Harpist",fiction,serious
"He sighed, and, striking a match, applied it to his pipe and sat smoking thoughtfully.  ""The young fellow is pretending that his arm is at the back of her by accident,"" he continued; ""and she's pretending not to know that it's there. When he's allowed to put it round 'er waist whenever he wishes, he won't want to do it. She's artful enough to know that, and that's why they are all so stand-offish until the thing is settled. She'll move forward 'arf an inch presently, and 'arf a minute arterwards she'll lean back agin without thinking. She's a nice-looking gal, and what she can see in a tailor's dummy like that, I can't think.""  He leaned back on his box and, folding his arms, emitted a cloud of smoke.  ""Human natur's a funny thing. I've seen a lot of it in my time, and if I was to 'ave my life all over agin I expect I should be just as silly as them two in the skiff. I've known the time when I would spend money as free over a gal as I would over myself. I on'y wish I'd got all the money now that I've spent on peppermint lozenges.  ""That gal in the boat reminds me o' one I used to know a few years ago. Just the same innercent baby look--a look as if butter wouldn't melt in 'er mouth--and a artful disposition that made me sorry for 'er sects.  ""She used to come up to this wharf once a week in a schooner called the Belle. Her father, Cap'n Butt, was a widow-man, and 'e used to bring her with 'im, partly for company and partly because 'e could keep 'is eye on her. Nasty eye it, was, too, when he 'appened to be out o' temper.  ""I'd often took a bit o' notice o' the gal; just giving 'er a kind smile now and then as she sat on deck, and sometimes--when 'er father wasn't looking--she'd smile back. Once, when 'e was down below, she laughed right out. She was afraid of 'im, and by and by I noticed that she daren't even get off the ship and walk up and down the wharf without asking 'im. When she went out 'e was with 'er, and, from one or two nasty little snacks I 'appened to overhear when the skipper thought I was too far away, I began to see that something was up.  ""It all came out one evening, and it only came out because the skipper wanted my help. I was standing leaning on my broom to get my breath back arter a bit o' sweeping, when he came up to me, and I knew at once, by the nice way 'e spoke, that he wanted me to do something for 'im.  ","Bill, Cap'n Butt, Winnie, Joe",drama,serious
"Men climbed the trunks, everywhere shaking the laden branches and hitting them with long bamboo poles to knock the fruit off, while women and children, squatting on their haunches, spent laborious hours filling baskets underneath, then loading mules and donkeys with their daily ""catch."" But an olive to eat was unobtainable. He had never cared for olives, but now he craved with all his soul to feel his teeth in one.  ""Ach! But it is the Spanish olive that you eat,"" explained the head waiter, a German ""from Basel."" ""These are for oil only."" After which he disliked the olive more than ever--until that night when he saw the first eatable specimen rolling across the shiny parquet floor, propelled towards him by the careless hand of a pretty girl, who then looked up into his eyes and smiled.  He was convinced that Eve, similarly, had rolled the apple towards Adam across the emerald sward of the first garden in the world.  He slept usually like the dead. It must have been something very real that made him open his eyes and sit up in bed alertly. There was a noise against his door. He listened. The room was still quite dark. It was early morning. The noise was not repeated.  ""Who's there?"" he asked in a sleepy whisper. ""What is it?""  The noise came again. Some one was scratching on the door. No, it was somebody tapping.  ""What do you want?"" he demanded in a louder voice. ""Come in,"" he added, wondering sleepily whether he was presentable. Either the hotel was on fire or the porter was waking the wrong person for some sunrise expedition.  Nothing happened. Wide awake now, he turned the switch on, but no light flooded the room. The electricians, he remembered with a curse, were out on strike. He fumbled for the matches, and as he did so a voice in the corridor became distinctly audible. It was just outside his door.  ""Aren't you ready?"" he heard. ""You sleep for ever.""  And the voice, although never having heard it before, he could not have recognised it, belonged, he knew suddenly, to the girl who had let the olive fall. In an instant he was out of bed. He lit a candle.  ""I'm coming,"" he called softly, as he slipped rapidly into some clothes. ""I'm sorry I've kept you. I shan't be a minute.""  ""Be quick then!"" he heard, while the candle flame slowly grew, and he found his garments. Less than three minutes later he opened the door and, candle in hand, peered into the dark passage.  ""Blow it out!"" came a peremptory whisper. He obeyed, but not quick enough. A pair of red lips emerged from the shadows. There was a puff, and the candle was extinguished. ","The protagonist, The head waiter, The girl",romance,romantic
"Sherlock Holmes' quick eye took in my occupation, and he shook his head with a smile as he noticed my questioning glances. ""Beyond the obvious facts that he has at some time done manual labour, that he takes snuff, that he is a Freemason, that he has been in China, and that he has done a considerable amount of writing lately, I can deduce nothing else. ""Mr. Jabez Wilson started up in his chair, with his forefinger upon the paper, but his eyes upon my companion. ""How, in the name of good-fortune, did you know all that, Mr. Holmes?"" he asked. ""How did you know, for example, that I did manual labour. It's as true as gospel, for I began as a ship's carpenter."" ""Your hands, my dear sir. Your right hand is quite a size larger than your left. You have worked with it, and the muscles are more developed."" ""Well, the snuff, then, and the Freemasonry?""  ""I won't insult your intelligence by telling you how I read that, especially as, rather against the strict rules of your order, you use an arc-and-compass breastpin."" ""Ah, of course, I forgot that. But the writing?"" ""What else can be indicated by that right cuff so very shiny for five inches, and the left one with the smooth patch near the elbow where you rest it upon the desk?""  ""Well, but China?"" ""The fish that you have tattooed immediately above your right wrist could only have been done in China. I have made a small study of tattoo marks and have even contributed to the literature of the subject. That trick of staining the fishes' scales of a delicate pink is quite peculiar to China. When, in addition, I see a Chinese coin hanging from your watch-chain, the matter becomes even more simple."" Mr. Jabez Wilson laughed heavily. ""Well, I never!"" said he. ""I thought at first that you had done something clever, but I see that there was nothing in it, after all."" ""I begin to think, Watson,"" said Holmes, ""that I make a mistake in explaining. 'Omne ignotum pro magnifico,' you know, and my poor little reputation, such as it is, will suffer shipwreck if I am so candid. Can you not find the advertisement, Mr. Wilson?"" ""Yes, I have got it now,"" he answered with his thick red finger planted halfway down the column. ""Here it is. This is what began it all. You just read it for yourself, sir.""","Sherlock Holmes, Mr. Jabez Wilson, Doctor",mystery,serious
